id,createdDate,updatedDate,version,name,uri,description,authorizationId,profileId
4b053c6a-1ece-4e77-a9f6-f1869304f7fc,"2023-09-20 09:27:18.622394","2023-11-22 16:54:32.341335",5,"New reference",https://acc-alkem.io/api/private/rest/storage/document/83508e9c-32a3-4d87-aa1a-e6b697d70938,"Alternatively, you can also cut and paste the following URL into your browser:",ae843705-0867-4886-9fc9-70a5b7d3dcd4,68bacd68-64ad-49ad-a91e-04bccd5f134b
4b88d9e5-a1ae-4898-9f1f-54141563bc6a,"2024-06-04 08:34:30.602196","2024-06-04 08:34:30.000000",2,linkedin,,"User profile on LinkedIn",9b2eccb5-ecda-4617-b040-6678037df542,023c89b7-335c-4d44-bb23-6b8f1d5494ab
4bcdb101-e826-4114-871d-b6fcc5852a07,"2023-03-31 14:29:50.682020","2023-03-31 14:29:58.000000",3,"release-31-03-23-opportunity reference",https://test.com,test,534df414-34a0-4619-8e35-e0e70bb8ed65,100d7f2a-fd1e-4e18-ad8d-1f000af12f9e
4c15733c-619c-4c78-9759-583196c6ab34,"2022-11-14 13:32:44.961125","2022-11-14 13:32:45.000000",2,twitter,,"User profile on Twitter",96fe86b4-b162-477d-aac2-37aa35fe74a9,bedc9e0a-3023-4a86-ad06-3e9db19018db
4c7eaacf-0f8d-4d70-9b66-bd7f5e24aceb,"2023-12-12 14:24:30.566012","2023-12-12 14:24:30.000000",2,twitter,,"User profile on Twitter",adce3a9f-d5ca-4115-9645-12174c3a8781,88cd6199-5f55-416f-84bb-c38392a278a9
4c9c0e44-f251-4e03-8c0a-829bdb9e85c3,"2022-09-26 08:29:30.231838","2023-03-21 12:48:46.187898",3,"hub-release-26-09-2022 reference",http://www.test.com,hub-release-26-09-2022,bea7e80c-c6d7-470e-8ae5-c587b94f1cce,39677ad1-42ee-49bf-a731-eba701acf787
4cd56fe3-87b9-4b9a-8114-33911cb3084c,"2023-05-05 11:42:50.048290","2023-05-05 11:42:50.000000",2,linkedin,,"User profile on LinkedIn",d93d22f7-0ece-48e3-a62d-0c8d95b85c9e,80d9a48b-998d-4a38-ab39-0867fe1d9be4
4cd5dd67-af7b-41ed-ad59-896e7a26502c,"2023-09-20 08:44:29.728443","2023-09-20 09:02:23.000000",3,"New reference (3)4",,,94fa77cf-def9-4bc0-b3cc-a252a387000d,fc8e555b-690f-4215-80a4-b07214ba2f28
4d00a58b-6134-4e3e-8978-251174f1de2d,"2024-07-19 10:21:47.997960","2024-07-19 10:21:48.000000",2,github,,"User profile on GitSpace",5dfa7225-a341-484b-af39-f1b0753dde27,803ffc1d-6a7e-4eb9-9276-d9479f2076c0
4df85d1d-681e-48d7-8b90-479f9d828d82,"2024-07-31 09:30:22.125756","2024-07-31 09:30:22.000000",2,linkedin,,"User profile on LinkedIn",ab37bc7d-e670-49cd-89d7-ef46d231e2c8,654fe122-be43-4df2-95bf-f942cd88c7a3
